mainFrameColor,22,22,22
jButton1,168,66,112
jButton2,31,210,83
jButton3,56,17,161
jButton4,38,30,140
jButton5,57,141,137
jButton6,190,239,160
jButton7,37,74,227
jButton8,158,32,99
jButton9,75,109,239
jButton10,122,224,89
jButton11,230,101,34
jButton12,30,31,183
jButton13,15,248,169
jButton14,49,229,217
jButton15,45,102,114
jButton16,115,192,1
jButton17,236,249,84
jButton18,182,103,10
jTextField1,15,104,178
jTextField1TextColor,174,236,175
jLabel1,122,196,202
jPanel1,91,233,119
jPanel2,193,146,135
jPanel3,108,126,70
jPanel4,13,93,222
jPanel5,223,48,63
