mainFrameColor,125,80,53
jButton1,206,223,174
jButton2,134,34,166
jButton3,193,69,96
jButton4,84,117,81
jButton5,60,142,112
jButton6,161,161,95
jButton7,75,29,28
jButton8,75,90,210
jButton9,120,174,0
jButton10,138,61,183
jButton11,149,56,39
jButton12,161,231,179
jButton13,199,150,207
jButton14,150,80,91
jButton15,116,61,6
jButton16,137,145,128
jButton17,204,194,149
jButton18,106,135,14
jTextField1,217,122,18
jTextField1TextColor,22,221,255
jLabel1,255,255,42
jPanel1,208,47,116
jPanel2,158,239,247
jPanel3,89,14,128
jPanel4,167,105,203
jPanel5,236,181,157
